name,chapter,email,phone,website,address,desc
"Authority Engineering and Surveying, Inc.",Kern County,nico.garza@aesprofessionals.com,661-302-5659 (Phone),https://aesprofessionals.com/,"5055 California Avenue, Suite 101, Bakersfield, California, 93309","AES Professionals offer a full suite of Civil Engineering and Surveying project development services to support State and Local public agencies, private development clients, and general engineering contractors from project initiation, through project development, to project implementation and construction completion. Specialty Services include Transportation Engineering, Land Development, Grading and Drainage, Drainage Studies, Storm Water Comliance QSD/QSP, SJVAPCD Dust Control Compliance, Land Division and Mapping."
Clark Hill LLP Morris Polich & Purdy LLP,Affiliate Member,csebra@clarkhill.com,,,"1055 West Seventh Street, 24th Floor, Los Angeles, California","Morris Polich & Purdy LLP is a law firm with offices in Los Angeles, Irvine, San Diego, San Francisco and Las Vegas. The representation of design professionals is a cornerstone of our practice, and an area in which we have extensive experience. MPP has attorneys that are also registered engineers and architects - this gives us a unique perspective on issues affecting civil engineers, including: risk management, contract disputes, liability matters, as well as lien rights and other claims."
WSP USA,Orange County,alonsoea@pbworld.com,714 5642757 (Phone); 714 973-0358 (Fax),http://www.wsp-pb.com,"15231 Laguna Canyon Road, Suite 100, Irvine, California, 92618","MARKETS: Aviation, bridges, highways, ports and marine, rail, transit, tunnels, water and wastewater, facilities, mining, power, telecommunications. SERVICES: Planning, environmental, design and engineering, program management, construction management, management consulting, operations and maintenance, e-business and e-media."
GUIDA,Los Angeles County,rguidaiii@guidasurveying.com,949 777-2000 (Phone); 949 777-2050 (Fax),http://www.guidasurveying.com,"444 West Ocean Blvd., Suite 800, Long Beach, California, 90802","Right-of-way engineering, design surveys, legal and easements preparation, mapping, land subdivision, ALTA surveys, land surveying, sub-division-staking, boundary surveying, topographic survey and bridge survey."
"Virginkar & Associates, Inc.",Orange County,inquiry@va-inc.com,714 993-1008 (Phone); 714 993-1092 (Fax),http://www.va-inc.com,"1561 E. Organgethorpe Avenue, Suite 120, Fullerton, California, 92831","VAI provides program management, construction management, design support and staff augmentation services for the transit, rail and transportation industry. Services include: Passenger Bus & Rail Rolling Stock; Transit Rail & Bus Systems; Civil Works including track, site and Roadways/structures; and, Federal Transit Administration (FTA) and Federal Railroad Administration (FRA) Project Management Oversight (PMO)."
"CL Surveying and Mapping, Inc.",Riverside/San Bernardino,dan@cl-survey.com,909 484-4200 (Phone),http://www.cl-survey.com,"400 E. Rincon Street, Suite 202, Corona, California, 92879","CL Surveying and Mapping, Inc. provide land surveying services."
"Carollo Engineers, Inc.",Non-Chapter Member,dbaker@carollo.com,858 505-1020 (Phone); 858 505-1015 (Fax),http://www.carollo.com,"5355 Mira Sorrento Place, Suite 270, San Diego, California, 92121","Carollo Engineers offers over six decades of experience in water, wastewater, energy, solid waste, storm drainage, and related projects. The scope of services to municipal, regional, and industrial clients includes technical and economic feasibility studies, planning and conceptual development, detailed engineering and design, procurement, expediting, and construction management services, start-up, and operations assistance and training."
"Mark Thomas & Company, Inc.",Non-Chapter,sdansky@markthomas.com,408 253-7863 (Phone); 408 253-5173 (Fax),http://www.markthomas.com,"20863 Stevens Creek Blvd., Suite 100, Cupertino, California, 95014","Consulting civil engineering and municipal planning.  Specialties:  transportation facilities, highways, bridges, assessment districts, hydrology and drainage facilities, business and industrial parks, sewerage facilities, special district operations, land and site developments, surveying and construction management."
RICK,Sierra,slillibridge@rickengineering.com,916 6388200 (Phone),,"2525 East Bidwell Street, Folsom, California, 95630","Comprehensive civil engineering, land use planning, traffic and transportation engineering, surveying, mapping, aerial photogrammetry, landscape architecture, GIS and specialized computer services for both public and private sector clients."
WSP USA,Non-Chapter,bruce.corkle@wsp.com,858 278-3600 (Phone); 858 278-5300 (Fax),http://www.wsp.com,"9177 Sky Park Court, Suite A, San Diego, California, 92123",Consulting engineering and environmental services.
Accenture,Monterey Bay Area,constantine.politis@accenture.com,416 409-9057 (Phone),https://www.accenture.com,"1003 E. 4th Place, 8th Floor, Los Angeles, California, 90013",
"Biggs Cardosa Associates, Inc.",San Joaquin Valley,ssumpter@biggscardosa.com,559 449-8686 (Phone); 559 449-8580 (Fax),http://www.biggscardosa.com,"5250 North Palm, Suite 211, Fresno, California, 93704","Biggs Cardosa Associates, Inc. offers structural engineering design and inspection services to public agencies, developers, professional engineers, design/build contractors and architects on a wide variety of projects including commercial and industrial buildings, transportation facilities, retail complexes and institutional facilities."
RRM Design Group,Bay Bridge,,510 751-4910 (Phone),http://www.rrmdesign.com,"325 Davis Street, San Leandro, California, 94577","Civil engineering, land planning, surveying, construction administration, architecture and landscape architecture."
"David Evans and Associates, Inc.",Riverside/San Bernardino,alth@deainc.com,909 481-5750 (Phone); 909 481-5757 (Fax),http://www.deainc.com,"4141 E. Inland Empire Blvd., Suite 250, Ontario, California, 91764","Civil engineering, surveying, planning, landscape architecture, and environmental."
"Mid Pacific Engineering, Inc.",Northern Association,troykamisky@midpacific.com,530 246-9499 (Phone); 530 246-9527 (Fax),,"PO Box  492067, Redding, California, 96049",Geotechnical engineering & construction testing.
"CCME, Inc.",Non-Chapter,ramon@ccmeusa.com,,https://www.ccmeusa.com,"2109 O Street, Merced, California, 95340","CCME, Inc. is a privately owned firm in the Central Valley specializing in Construction Administration and Project Management of Public Sector Transportation and Utility Projects. Founded by Bryan Kroeger and Ramon Montes De Oca, CCME's mission is to maintain a client centered approach that is committed to meeting the individual needs of each project."
"OBERMAN Associates, Inc.",Affiliate,dho@obermanassociates.com,949 476-0790 (Phone); 949 752-89835 (Fax),http://www.obermanassociates.com,"19200 Von Karman Ave, 6th Floor, Irvine, California, 92612","OBERMAN Associates, INc. provides strategy, management consulting, governance and M&A/ financial advisory services to assist firms with growth, diversification and restructuring. We specialize in ownership transition; mergers & acquisitions; leadership succession; and complex governance issues. Established in 1977. we have successfully assisted over 750 firms at all stages of the business life cycle."
TLA Engineering and Planning,Sierra Chapter,plongtin@tla-inc.com,916 7860685 (Phone),,"1504 Eureka Road, Suite 110, Roseville, California","Civil engineering services relative to the planning, entitling, designing, constructing and public financing of residential, commercial and industrial projects as well as for sewage collection, water transmission and storage, streets and storm drainage projects. Specializing in the legalities and requirements for a public agency to approve a private development project."
Junker Gonzalez Engineering Group,San Diego,dgonzalez@junkergonzalez.com,858 215-3660 (Phone),https://junkergonzalez.com,"8285 La Mesa Blvd, Suite C, La Mesa, California, 91942","Junker Gonzalez Engineering Group (JGEG) is a full service structural and earthquake engineering firm based in San Diego County. We are a small business enterprise with special expertise in the design of new structures, seismic evaluation and retrofit of existing buildings and seismic and wind equipment testing and certification."
"Akel Engineering Group, Inc",San Joaquin Valley,takel@akeleng.com,436 0600 (Phone); 436 0622 (Fax),http://www.akeleng.com,"7433 N. First Street, Suite 103, Fresno, California, 93720","Akel Engineering Group, Inc provides Water Infrastructure Master Plans, Urban Water Management Plans, Renewal and Replacement Plans, Water Supply Strategies, Hydraulic Modeling, Water Quality Modeling, Surge Analysis, Infiltration and Inflow Analysis, GIS Infrastructure and Asset Mapping, NO-DES Flush Sequencing and GIS Mapping, Solid Waster Truck Route Balancing and Mapping, Capital Improvement Plans and Budgets, Sewer System Management Plans, and 2D Modeling."
Cannon,Non-Chapter,lizm@cannoncorp.us,805 544-7407 (Phone),https://www.cannoncorp.us,"60 South California Street, Suite 401, Ventura, California, 93001","Cannon provides Civil engineering, Planning and Surveying services for public works entities and land development clients throughout Southern California."
"CCME, Inc.",San Joaquin Valley,ramon@ccmeusa.com,916 893-6674 (Phone),https://www.ccmeusa.com,"6445 N. Palm Avenue, Suite 106, Fresno, California, 93704","CCME, Inc. is a privately owned firm in the Central Valley specializing in Construction Administration and Project Management of Public Sector Transportation and Utility Projects. Founded by Bryan Kroeger and Ramon Montes De Oca, CCME's mission is to maintain a client centered approach that is committed to meeting the individual needs of each project."
Luster National Inc.,Non-Chapter,bho@luster.com,310 592-5165 (Phone),https://www.luster.com,"10880 Wilshire Blvd., Suite 1101, Los Angeles, California, 90024","A management consulting firm specializing in strategic consulting services, program/project management and construction management activities. Luster has been in business for 35 years and operates nationwide. Our sector focus includes road and bridges, transit, healthcare and aviation. Luster is ISO 9001:2015 certified."
"Mark Thomas & Company, Inc.",Bay Bridge,sokeefe@markthomas.com,510 844-5600 (Phone); 510 844-5681 (Fax),http://www.markthomas.com,"1970 Broadway, Suite 760, Oakland, California, 94612","Civil engineering and land surveying firm focused on the planning, design and construction management of municipal infrastructure through regional transportation facilities. Specialties:  bridge and structural design, wastewater collection and sanitation district management, storm drainage, flood control and water quality, land planning, site design and bicycle/pedestrian facilities."
"GEI Consultants, Inc.",Bay Bridge,mfreitas@geiconsultants.com,510 350-2900 (Phone); 510 350-2901 (Fax),http://www.geiconsultants.com,"180 Grand Avenue, Suite 1410, Oakland, California, 94612","Water Resources-planning studies; investigation and design for dams, reservoirs, pump stations, water conveyance systems; safety evaluation and rehabilitation of dams, seismic/stability analysis; FERC licensing. Geotechnical-site evaluation/planning, foundation design, waterfront development, seismic evaluations, forensic engineering. Environmental-facility closure plans, risk assessment, brownfields site restoration, air quality permits/engineering, litigation support."
"Polaris Land Surveying, Inc.",Monterey Bay Area,lynn@polarislandsurveying.net,831 659-9564 (Phone),,"P.O. Box 1378, Carmel Valley, California, 93924","Polaris Land Surveying, Inc. was founded in 1999. We are a California firm with one office based in Monterey County.  We provide surveying services all over Monterey, Santa Cruz, and San Benito Counties.  We have worked with various agencies on their projects, including many projects for various cities in the area.  Our clients include the National Park Service, Caltrans, County of Monterey, and most of the cities within Monterey County.  Polaris Consulting is a certified Small Business as well as being certified as a DBE/WBE/UDBE by Caltrans under the California Unified Certification Program.  We are also certified as a WBE by the California Public Utilities Commission.  Polaris Consulting is a full service surveying and mapping firm.  We perform all facets of surveying and mapping, including topographic mapping, boundary surveys, annexations, legal descriptions, title searches, ALTA surveys, right of way engineering, and construction surveying.  In addition to producing standalone maps, descriptions, and surveys, we are very accustomed to working with architects and engineers in support of design and construction of capital improvement projects.  However, our specialty is boundary surveying and boundary dispute resolution.  We also provide expert witness services and title consultation."
"Walter P Moore and Associates, Inc.",Los Angeles County,info@walterpmoore.com,310 254-1900 (Phone); 310 817-8961 (Fax),http://www.walterpmoore.com,"633 West 5th Street, Suite 7200, Los Angeles, California, 90071","Walter P Moore is a consulting firm established in 1931 to provide structural, civil, structural diagnostics, traffic and transportation engineering and parking consulting services to discerning public and private sector clients throughout the United States and internationally."
"Earth Mechanies, Inc.",Non-Chapter,e.brown@earthmech.com,760 736-8222 (Phone),https://www.earthmech.com,"820 Los Vallecitos Blvd., Suite H, San Marcos, California, 92069","Earth Mechanics, Inc. (EMI) is a geotechincal and earthquake engineering consulting firm specializing in major geotechnical site investigations and testing, seismic hazard and earthquake retrofit evaluations, and foundation design for projects related to transportation infrastructure including bridges, highways, roadways, rail/transit, ports/harbors, and tunnels."
WMH Corporation,Santa Clara County Chapter,whadaya@wmhcorporation.com,408 971-7300 (Phone),,"55 South Market Street, Suite 1200, San Jose, California","WMH provides complete management and design services for a broad range of highway improvement projects on both state and local facilities. These projects include planning, preliminary engineering, final design and construction support services for new roadway alignments, roadway widening and extensions, interchanges and intersections, roadway rehabilitation, toll plaza improvements, airport infrastructure and bicycle and pedestrian facilities."
Salas O'Brien,Non-Chapter,,,https://www.salasobrien.com,,"Salas O'Brien is an engineering and technical services firm focused on advancing the human experience through the built environment. Our team is engineered for impact™, helping clients achieve critical goals, advancing team members through growth and opportunity, and operating at the center of important global issues, including sustainability and decarbonization."
Christian Wheeler Engineering,San Diego Chapter,jcanon@christianwheeler.com,619 550-1700 (Phone); 619 550-1701 (Fax),http://www.christianwheeler.com,"3980 Home Avenue, San Diego, California, 92105","Geotechnical consulting, soils observation and testing; construction materials inspection and testing; laboratory testing; roofing and waterproofing consulting."
Green Valley Consulting Engineers,North Coast,stevem@gvalley.com,707 579-0388 (Phone); 707 579-3877 (Fax),http://wwwgvalley.com,"335 Tesconi Circle, Santa Rosa, California, 95401","Civil engineering, land surveying, municipal engineering and construction management."
GUIDA,San Joaquin Valley,rguidaiv@guidasurveying.com,949 777-2000 (Phone),http://www.guidasurveying.com,"6366 North Figarden Drive, Suite 106, Fresno, California, 93722",
Kennedy/Jenks Consultants,Sierra,spencerarcher@kennedyjenks.com,916 858-2700 (Phone),http://www.kennedyjenks.com,"2882 Prospect Park Drive, Suite 240, Rancho Cordova, California, 95670","Environmental, civil and sanitary engineering, water  resources, water supply, treatment, and distribution.  Wastewater collection, treatment, reclamation and disposal.  Hazardous waste characterization and remediation.  Storm drainage and flood control.  Solid waste recycling and disposal.  Site utility systems. Utility rate studies.  Industrial water waste and treatment. Environmental audits."
"Encompass Consultant Group, Inc.",Channel Coast,James.Fallon@ecgcivil.com,805 322-4443 (Phone),http://www.ecgcivil.com,"333 North Lantana Street, Suite 287, Camarillo, California, 93010","Encompass Consultant Group, Inc. (ECG) is an employee-owned private consulting firm specialized in providing quality civil engineering, land surveying, and site planning services. Our group is comprised of highly respected engineers, land surveyors, and designers, who, combined, have nearly 100 years of experience providing consulting, engineering, and surveying services throughout Ventura County, Los Angeles County, and Santa Barbara County."
"Watry Design, Inc.",Santa Clara,jmcinerney@watrydesign.com,408 392-7900 (Phone); 408 532-5004 (Fax),,"2099 Gateway Place, Suite 550, San Jose, California","Watry Design, Inc., using a unique, collaborative process developed over the firmÕs forty year legacy, creates parking solutions specifically tailored to your projectÕs needs. Infused with a passion for parking, our talented architects, engineer and parking planners produce cost effective, award winning solutions for satisfied clients."
"Kimley-Horn and Associates, Inc.",Peninsula,john.pulliam@kimley-horn.com,650 2623882 (Phone),,"2121 South El Camino Real, Suite 550, San Mateo, California, 94403",
Michael K. Nunley & Associates,San Joaquin Valley,hliang@mknassociates.us,559 5004750 (Phone),,"8405 N. Fresno St., Suite 120, Fresno, California, 93720","Planning, design, and construction support for water, wastewater, and water reuse programs."
Aerial Photomapping Services,Affiliate,ddietrich@photomapping.com,559 291-0147 (Phone),,"2921 Larkin Avenue, Clovis, California",Photogrammetry.
RICK,Orange County,jhammond@rickengineering.com,949 588-0707 (Phone),http://www.rickengineering.com,"36 Discovery, Suite 240, Irvine, California, 92618","Comprehensive civil engineering, land use planning, traffic and transportation engineering, surveying, mapping, aerial photogrammetry, landscape architecture, GIS and specialized computer services for both public and private sector clients."
Cunningham Engineering Corporation,Sierra,joann@cecwest.com,530 758-2026 (Phone); 530 758-2066 (Fax),http://www.cecwest.com,"2940 Spafford Street, Suite 200, Davis, California, 95618","Primary Services:  civil engineering, land planning/design, municipal improvements, landscape architecture, agency approvals. Areas of Specialty:  land development, low-impact development/LEED, municipal improvements, educational facilities, recreation facilities, transportation and mineral extraction."
Ashley & Vance Engineering Inc.,Channel Coast,paul@ashleyvance.com,805 962-9966 (Phone),https://www.ashleyvance.com,"210 E. Cota Street, Santa Barbara, California, 93101",Civil and structural engineering consulting services.
GHD,Non-Chapter,joyce.cheung@ghd.com,510 420-0700 (Phone),http://www.ghd.com,"6001 Shellmound Street, Suite 850, Emeryville, California, 94608","Multi-discipline consulting engineering (civil, structural, electrical, mechanical, environmental) and associated services (land surveying, planning, environmental studies, and toxic remediation)."
Land & Structure,Mother Lode,zac@landstruc.com,209 532-5173 (Phone); 209 532-5220 (Fax),http://www.landstruc.com,"105 South Stewart Street, Sonora, California, 95370","Land surveying and subdivisions, water and sewer systems, transportation engineering, storm drain systems, grading plans, structural analysis, industrial engineering plans and general engineering investigations."
Lewis Management Corp.,Affiliate,jay.dupre@lewismc.com,909 9850971 (Phone),,"PO Box 670, Upland, California, 91786","Real estate developer of commercial/retail centers, industrial complexes, apartment complexes, and planned communities. Property manager of commercial/retail/industrial complexes and apartment complexes."
"Stantec Consulting Services, Inc.",Channel Coast,hady.izadpanah@stantec.com,805-963-9532 (Phone); 805-966-9801 (Fax),,"200 E. Carillo Street, Suite 101, Santa Barbara, California, 93101","General civil engineering, land surveying, traffic engineering, mapping, land planning, assessment district engineering services, construction administration, and GIS consulting and planning. Emphasis is in municipal design, residential subdivision design, including streets, sewers, drainage, water supply and distribution, site development design for industrial and commercial projects, also provides permitting and processing services."
HDR,Los Angeles County,paul.mak@hdrinc.com,562 264-1100 (Phone); 562 264-1101 (Fax),http://www.hdrinc.com,"100 Ocean Gate, Suite 1120, Long Beach, California, 90802","Planning and design of water and wastewater projects, bridges, highways, railroads, solid waste, water resources, environmental planning and permitting."
"Linwood Engineering, Inc.",Orange County,jrezell@linwoodengineering.com,714 424-0001 (Phone),http://www.linwoodengineering.com,"3333 Michelson Drive, Suite 450, Irvine, California, 92612","Linwood Engineering, Inc. provides mechanical, electrical, and plumbing engineering design and review services for new and existing buildings. Headquartered in Orange County, CA and offering consulting services throughout the United States, we specialize in the following markets: commercial, healthcare, hospitality, industrial, mixed-use, municipal/civic, restaurant and retail."
WSP USA,Non-Chapter,john.fisher@wsp.com,510 663-4100 (Phone); 510 663-4141 (Fax),http://www.wsp.com,"1901 Harrison Street, Suite 1575, Oakland, California, 94612","Consulting engineers and scientists specializing in geotechnical/geomarine/coastal foundation engineering; engineering and seismic geology (geologic mapping, hazard assessment/fault studies); earthquake engineering (seismic design criteria, soil liquefaction evaluations), environmental services (site assessments, soil and groundwater investigations/remediation, process treatment design) and water resource management (groundwater resource evaluation)."
"MNS Engineers, Inc.",Santa Clara,dreigler@mnsengineers.com,408 610-4202 (Phone),http://www.mnsengineers.com,"2025 Gateway Place, Suite 328, San Jose, California, 95110","MNS is a civil engineering, constuction management , and land surveying firm serving the transportation, water resources, government services, and federal markets. We are a California Certified Small Business Enterprise (CSBE) and signatory to IUOE Local 12."
"Marina Construction Management, Inc.",Peninsula,,650 206-9040 (Phone),,"650 Castro Street, Suite 120-492, Mountain View, California, 94041","As a full-service DBE construction management and inspection firm, Marina Construction Management is committed to delivering high-quality, efficient construction support services to transportation, infrastructure, and facility owners, while championing inclusivity and diversity within the industry."
"Ashley & Vance Engineering, Inc.",San Luis,info@ashleyvance.com,805 545-0010 (Phone),http://www.ashleyvance.com,"1229 Carmel Street, San Luis Obispo, California, 93401",Civil and structural engineering consulting services.
RSA+,North Coast,contact@rsacivil.com,707 2523301 (Phone),,"1515 Fourth Street, Napa, California","Riechers Spence & Associates is a diversified consulting civil engineering company specializing in planning, civil engineering and surveying services. We have been serving the North bay for over 34 years. We have a broad range of project experience including large and small subdivisions, residential and commercial developments, wineries and vineyards, estate residential planning and design, resort/hotel, wastewater, and public improvements and infrastructure projects. We have an outstanding reputation for excellence and are widely recognized as one of the premier civil engineering firms in the North Bay."
GFT,,dfarley@gfnet.com,213 624-0347 (Phone); 213 624-1630 (Fax),http://www.gfnet.com,"601 S. Figueroa St., Suite 3800, Los Angeles, California, 90017-2731","Gannett Fleming, Inc. serves public and private owners with program management for planning, design, and construction project management and oversight needs. In addition, we offer forensic and expert multidisciplinary consulting services for successful delivery of development, and construction projects from concept to completion. Our clients include: cities, counties, state governments, transit agencies, water/wastewater, municipalities, developers, banks, property owners, investors and attorneys."
"Mead & Hunt, Inc.",Non-Chapter,jeff.leonard@meadhunt.com,707 526-5010 (Phone),http://www.meadhunt.com,"1360 19th Hole Drive, Suite 200, Windsor, California, 95492","Mead & Hunt is an employee-owned architectural and engineering firm with 450 professional, technical and support staff in offices nationwide. The firm provides engineering consulting services for water resources, municipal and civil engineering, public architecture, airports and aviation architecture, transportation facilities, historic preservation, industrial and food facilities, and Federal programs projects."
HNTB Corporation,Riverside/San Bernardino,hqbui@hntb.com,909 7275600 (Phone),,"3633 E. Inland Empire Blvd., Suite 750, Ontario, California - Outside Sacramento, 91764","HNTB Corporation is a full service architectural, engineering and planning firm, with over ninety years of experience. HNTB has extensive experience in the areas of highway and street design, bridge design, transit and rail design, airport design, urban planning, general architecture, interior design, and mechanical and electrical design, construction management and design/build."
SHN Consulting Engineering & Geologists,Non-Chapter,therman@shn-engr.com,707 459-4518 (Phone),,"335 South Main Street, Willits, California","Environmental services, water systems engineering, wastewater engineering, roads/site work, traffic engineering, economic development, environmental planning services, construction management, civil engineering, surveying, geology, soils engineering/foundations, expert witness."
Hale Engineering,San Diego Chapter,info@haleengineering.com,858 715-1542 (Phone),http://www.haleengineering.com,"7910 Convoy Court, San Diego, California, 92111",Civil Engineering and Land Surveying.
"C2G Civil Consultants Group, Inc.",Monterey Bay Area,todd@C2Gengrs.com,831 438-4420 (Phone),http://www.civilconsultantsgroup.com,"4444 Scotts Valley Drive, Suite 6, Scotts Valley, California, 95066",
"Balance Hydrologics, Inc.",Non-Chapter,cneill@balancehydro.com,831 457-8800 (Phone),https://www.balancehydro.com,"224 Walnut Avenue, Suite E, Santa Cruz, California, 95060",
Dewberry Engineers Inc.,Sierra,kdrebert@dewberry.com,916 363-4210 (Phone),http://www.dewberry.com,"11060 White Rock Road, Suite 200, Rancho Cordova, California, 95670","Dewberry | Drake Haglan provides project planning, project management, design, construction engineering, and program management for transportation projects. Specialized expertise in programming, planning and design for public agency clients."
"SB Coleman, Inc. DBA Sanbell - Sacramento",Sierra,ccoleman@sanbell.com,916 7911188 (Phone),http://sanbell.com,"1223 Pleasant Grove Blvd., Suite 100, Roseville, California, 95678","Sanbell provides outstanding water and wastewater engineering services; including facility planning, funding assistance, design, and construction management of all components of water and wastewater systems:  pipelines pump/lift stations, storage tanks, treatment plants. Many successful projects have resulted from working directly for public agencies and from teaming with other engineers."
AECOM,Channel Coast Chapter,mike.flack@aecom.com,805 764-4009 (Phone),,"1220 Avenida Acaso, Camarillo, California, 93012","AECOM, a Fortune 500 company, is a global provider of professional technical and management support services to a broad range of markets, including water/wastewater, transportation, facilities, environmental and energy. With offices in over 100 countries, AECOM (www.aecom.com) provides a blend of global reach, local knowledge, innovation, and technical excellence in delivering solutions that enhance and sustain the world's built, natural, and social environments."
"Stantec Consulting Services, Inc.",Kern County,david.kennedy@stantec.com,,,"5500 Ming Avenue, Suite 300, Bakersfield, California",Engineering and consulting services.
